configuration;zone_climatique;annee_construction_isolation/gte;annee_construction_isolation/lte;effet_joule;u;tv_uph_id
terrasse;H1;2006;2012;1;0.27;85
terrasse;H1;2006;2012;0;0.27;86
terrasse;H2;2006;2012;1;0.27;87
terrasse;H2;2006;2012;0;0.27;88
terrasse;H3;2006;2012;1;0.27;89
terrasse;H3;2006;2012;0;0.27;90
terrasse;H1;2013;;1;0.14;91
terrasse;H1;2013;;0;0.14;92
terrasse;H2;2013;;1;0.14;93
terrasse;H2;2013;;0;0.14;94
terrasse;H3;2013;;1;0.14;95
terrasse;H3;2013;;0;0.14;96
