type_generateur;mode_combustion;energie_generateur;annee_installation_generateur/gte;annee_installation_generateur/lte;pn/gt;pn/lte;pn_max;rpn;rpint;qp0;pveilleuse
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_granule;2013;2019;;70;;80 + 2 * logPn;77 + 3 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_granule;2013;2019;70;400;70;84;83;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_granule;2013;2019;400;;70;84;83;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_granule;2020;;;20;;91 + 2 * logPn;88 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_granule;2020;;20;70;;92 + 2 * logPn;89 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_granule;2020;;70;400;70;96;93;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;bois_granule;2020;;400;;70;96;93;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;basse_temperature;fioul;;2015;;;;87.5 + 1.5 * logPn;87.5 + 1.5 * logPn;0.01 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;basse_temperature;fioul;2016;;;;;87.5 + 1.5 * logPn;87.5 + 1.5 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;basse_temperature;gaz_naturel|gpl;;2000;;;;87.5 + 1.5 * logPn;87.5 + 1.5 * logPn;0.012 * Pn;120
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;basse_temperature;gaz_naturel|gpl;2001;2015;;;;87.5 + 1.5 * logPn;87.5 + 1.5 * logPn;0.01 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;basse_temperature;gaz_naturel|gpl;2016;;;;;87.5 + 1.5 * logPn;87.5 + 1.5 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;fioul;;2015;;;;91 + logPn;97 + logPn;0.01 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;fioul;2016;;;70;;91 + 3 * logPn;103 + 2.5 * logPn;0.005 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;fioul;2016;;70;400;;94 + logPn;105 + 0.5 * logPn;0.003 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;fioul;2016;;400;;400;96.6;106.3;0.003 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;gaz_naturel|gpl;;1985;;;;91 + logPn;97 + logPn;0.01 * Pn;150
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;gaz_naturel|gpl;1986;2000;;;;91 + logPn;97 + logPn;0.01 * Pn;120
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;gaz_naturel|gpl;2001;2015;;;;91 + logPn;97 + logPn;0.01 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;gaz_naturel|gpl;2016;;;70;;91 + 3 * logPn;103 + 2.5 * logPn;0.005 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;gaz_naturel|gpl;2016;;70;400;;94 + logPn;105 + 0.5 * logPn;0.003 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;condensation;gaz_naturel|gpl;2016;;400;;400;96.6;106.3;0.003 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;;1977;;70;;47 + 6 * logPn;48 + 6 * logPn;0.08 * Pn * (Pn ^ -0.27);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;;1977;70;400;70;58;59;1.8;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;;1977;400;;70;58;59;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;1978;1994;;70;;47 + 6 * logPn;48 + 6 * logPn;0.07 * Pn * (Pn ^ -0.3);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;1978;1994;70;400;70;58;59;1.4;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;1978;1994;400;;70;58;59;0.8;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;1995;2003;;70;;47 + 6 * logPn;48 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;1995;2003;70;400;70;58;59;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;1995;2003;400;;70;58;59;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2004;2012;;70;;57 + 6 * logPn;58 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2004;2012;70;400;70;68;69;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2004;2012;400;;70;68;69;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2013;2017;;70;;67 + 6 * logPn;68 + 6 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2013;2017;70;400;70;78;79;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2013;2017;400;;70;78;79;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2018;2019;;70;;80 + 2 * logPn;77 + 3 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2018;2019;70;400;70;84;83;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2018;2019;400;;70;84;83;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2020;;;20;;89 + 2 * logPn;84 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2020;;20;70;;90 + 2 * logPn;85 + 2 * logPn;0.085 * Pn * (Pn ^ -0.4);0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2020;;70;400;70;94;89;1.1;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;;charbon;2020;;400;;70;94;89;0.5;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;fioul;;1969;;;;84 + 2 * logPn;80 + 3 * logPn;0.04 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;fioul;1970;1975;;;;84 + 2 * logPn;80 + 3 * logPn;0.03 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;fioul;1976;1980;;;;84 + 2 * logPn;80 + 3 * logPn;0.02 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;fioul;1981;1990;;;;84 + 2 * logPn;80 + 3 * logPn;0.01 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;fioul;1991;2015;;;;84 + 2 * logPn;80 + 3 * logPn;0.01 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;fioul;2016;;;;;84 + 2 * logPn;80 + 3 * logPn;Pn * (E + F * logPn) / 100 * Pn;0
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;gaz_naturel|gpl;;1980;;;;84 + 2 * logPn;80 + 3 * logPn;0.04 * Pn;240
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;gaz_naturel|gpl;1981;1985;;;;84 + 2 * logPn;80 + 3 * logPn;0.02 * Pn;150
chaudiere|pac_air_eau|pac_eau_eau|pac_eau_glycolee_eau|pac_geothermique;standard;gaz_naturel|gpl;1986;1990;;;;84 + 2 * logPn;80 + 3 * logPn;0.015 * Pn;150
