zone_climatique;altitude/gt;altitude/gte;altitude/lt;altitude/lte;tbase
H1;;;400;;-9.5
H1;;400;;800;-11.5
H1;800;;;;-13.5
H2;;;400;;-6.5
H2;;400;;800;-8.5
H2;800;;;;-10.5
H3;;;400;;-3.5
H3;;400;;800;-5.5
H3;800;;;;-17.5
